filename,dataset,algorithm,support_value,transactions,min_support,mining_time,rule_gen_time,load_time,total_runtime,peak_memory_MB
retail_vertical_eclat_3000_output.txt,retail,eclat,3000,88162,,0.0136,,0.5341,,102.66
chess_vertical_declat_1500_output.txt,chess,declat,1500,3196,1500,48.8505,,0.0513,,452.29
retail_vertical_declat_3000_output.txt,retail,declat,3000,88162,3000,0.0919,,0.6431,,145.53
mushroom_vertical_declat_1000_output.txt,mushroom,declat,1000,8124,1000,7.4922,,0.0808,,78.39
mushroom_horizontal_apriori_1000_output.txt,mushroom,apriori,1000,8124,1000,6310.0892,183.1744,0.1163,,144.04
chess_vertical_declat_3000_output.txt,chess,declat,3000,3196,3000,0.0011,,0.0505,,12.09
retail_vertical_declat_1500_output.txt,retail,declat,1500,88162,1500,0.5494,,0.5232,,201.54
retail_vertical_eclat_1500_output.txt,retail,eclat,1500,88162,,0.0287,,0.5513,,103.17
mushroom_vertical_eclat_1000_output.txt,mushroom,eclat,1000,8124,,10.2644,,0.0819,,59.8
retail_horizontal_apriori_1500_output.txt,retail,apriori,1500,88162,1500,9.6315,0.0002,0.551,,118.41
chess_vertical_eclat_3000_output.txt,chess,eclat,3000,3196,,0.0177,,0.0538,,13.85
chess_vertical_eclat_1500_output.txt,chess,eclat,1500,3196,,235.0827,,0.0512,,451.93
retail_horizontal_apriori_3000_output.txt,retail,apriori,3000,88162,3000,2.6504,0.0001,0.5712,,118.35
chess_vertical_eclat_1000_output.txt,chess,eclat,1000,3196,,2890.2753,,0.0508,,6445.83
mushroom_vertical_eclat_3000_output.txt,mushroom,eclat,3000,8124,,0.3237,,0.0824,,31.41
mushroom_vertical_eclat_1500_output.txt,mushroom,eclat,1500,8124,,4.9122,,0.0829,,49.58
retail_horizontal_apriori_1000_output.txt,retail,apriori,1000,88162,1000,48.0398,0.0003,0.5373,,118.89
chess_horizontal_apriori_3000_output.txt,chess,apriori,3000,3196,3000,0.8894,,0.0777,,11.25
mushroom_horizontal_apriori_1500_output.txt,mushroom,apriori,1500,8124,1500,1577.9242,68.3087,0.0841,,69.54
retail_vertical_declat_1000_output.txt,retail,declat,1000,88162,1000,2.4923,,0.5199,,326.83
mushroom_vertical_declat_1500_output.txt,mushroom,declat,1500,8124,1500,2.8368,,0.0818,,61.05
retail_vertical_eclat_1000_output.txt,retail,eclat,1000,88162,,0.0673,,0.5241,,103.81
chess_vertical_declat_1000_output.txt,chess,declat,1000,3196,1000,1266.0421,,0.0517,,6555.04
mushroom_horizontal_apriori_3000_output.txt,mushroom,apriori,3000,8124,3000,5.6588,0.0102,0.0808,,27.06
mushroom_vertical_declat_3000_output.txt,mushroom,declat,3000,8124,3000,0.2324,,0.0794,,32.14
